function,dim,F,CR,mode,best_fitness,iteration
function 1,30,0.1,0.5,normal,468422741.3065795,1
function 1,30,0.1,0.5,PSR,436223331.1118641,1
function 1,30,0.1,0.5,MSR,1434944025.2954428,1
function 1,30,0.1,0.6,normal,540006247.1194006,1
function 1,30,0.1,0.6,PSR,904768339.5780178,1
function 1,30,0.1,0.6,MSR,395871459.0924539,1
function 1,30,0.1,0.7,normal,2509172976.564375,1
function 1,30,0.1,0.7,PSR,326455473.4501918,1
function 1,30,0.1,0.7,MSR,687713872.5380702,1
function 1,30,0.1,0.8,normal,1506916863.2041636,1
function 1,30,0.1,0.8,PSR,5086914844.164836,1
function 1,30,0.1,0.8,MSR,963345322.6955508,1
function 1,30,0.1,0.9,normal,38243008715.25944,1
function 1,30,0.1,0.9,PSR,21874369874.392544,1
function 1,30,0.1,0.9,MSR,42678508603.22553,1
function 1,30,0.1,1.0,normal,585917119208.9933,1
function 1,30,0.1,1.0,PSR,692136586047.1119,1
function 1,30,0.1,1.0,MSR,671448892716.6241,1
function 1,30,0.2,0.0,normal,1120043738926.4553,1
function 1,30,0.2,0.0,PSR,1025516856842.3257,1
function 1,30,0.2,0.0,MSR,1133242722261.1724,1
function 1,30,0.2,0.1,normal,28072364328.884605,1
function 1,30,0.2,0.1,PSR,34728960766.94668,1
function 1,30,0.2,0.1,MSR,26297721271.94368,1
function 1,30,0.2,0.2,normal,11523888815.700071,1
function 1,30,0.2,0.2,PSR,8201755671.681557,1
function 1,30,0.2,0.2,MSR,6297087391.549437,1
function 1,30,0.2,0.3,normal,3548135484.091748,1
function 1,30,0.2,0.3,PSR,1278033568.6673553,1
function 1,30,0.2,0.3,MSR,2998082450.3133087,1
function 1,30,0.2,0.4,normal,1766922441.6625395,1
function 1,30,0.2,0.4,PSR,639612864.3049338,1
function 1,30,0.2,0.4,MSR,540094838.0873615,1
function 1,30,0.2,0.5,normal,1209159319.4705625,1
function 1,30,0.2,0.5,PSR,862270009.5264009,1
function 1,30,0.2,0.5,MSR,657997219.7003499,1
function 1,30,0.2,0.6,normal,395885351.0371688,1
function 1,30,0.2,0.6,PSR,341163046.9111702,1
function 1,30,0.2,0.6,MSR,578456741.5914425,1
function 1,30,0.2,0.7,normal,432990454.29093283,1
function 1,30,0.2,0.7,PSR,1300074655.511749,1
function 1,30,0.2,0.7,MSR,448201736.4332703,1
function 1,30,0.2,0.8,normal,972093038.5594795,1
function 1,30,0.2,0.8,PSR,4186976791.360308,1
function 1,30,0.2,0.8,MSR,523410358.85731846,1
function 1,30,0.2,0.9,normal,6709419461.709899,1
function 1,30,0.2,0.9,PSR,25885673491.653465,1
function 1,30,0.2,0.9,MSR,16871465684.902027,1
function 1,30,0.2,1.0,normal,322340934787.3358,1
function 1,30,0.2,1.0,PSR,401417023830.20624,1
function 1,30,0.2,1.0,MSR,478840500986.57086,1
function 1,30,0.3,0.0,normal,1075402243013.5482,1
function 1,30,0.3,0.0,PSR,1303364680958.4153,1
function 1,30,0.3,0.0,MSR,1124369405243.017,1
function 1,30,0.3,0.1,normal,67266007843.41723,1
function 1,30,0.3,0.1,PSR,26802488679.145752,1
function 1,30,0.3,0.1,MSR,29766347546.1074,1
function 1,30,0.3,0.2,normal,18215393368.39039,1
function 1,30,0.3,0.2,PSR,9148956131.826082,1
function 1,30,0.3,0.2,MSR,10461901330.691875,1
function 1,30,0.3,0.3,normal,9067379827.91903,1
function 1,30,0.3,0.3,PSR,2324148583.808999,1
function 1,30,0.3,0.3,MSR,2555695842.069874,1
function 1,30,0.3,0.4,normal,3392855295.507507,1
function 1,30,0.3,0.4,PSR,983427398.8241134,1
function 1,30,0.3,0.4,MSR,654407355.2910485,1
function 1,30,0.3,0.5,normal,2049424915.417896,1
function 1,30,0.3,0.5,PSR,636272651.7396309,1
function 1,30,0.3,0.5,MSR,430284169.9239038,1
function 1,30,0.3,0.6,normal,3267234388.5190363,1
function 1,30,0.3,0.6,PSR,454922354.41497403,1
function 1,30,0.3,0.6,MSR,708904091.0437841,1
function 1,30,0.3,0.7,normal,1492381089.7344441,1
function 1,30,0.3,0.7,PSR,1653829609.1429694,1
function 1,30,0.3,0.7,MSR,3758112397.3534236,1
function 1,30,0.3,0.8,normal,2172297671.9531093,1
function 1,30,0.3,0.8,PSR,1157337050.546282,1
function 1,30,0.3,0.8,MSR,1436440453.167642,1
function 1,30,0.3,0.9,normal,2571241977.7014713,1
function 1,30,0.3,0.9,PSR,7239230037.593205,1
function 1,30,0.3,0.9,MSR,35525048800.93403,1
function 1,30,0.3,1.0,normal,237895251517.4505,1
function 1,30,0.3,1.0,PSR,486550830738.9401,1
function 1,30,0.3,1.0,MSR,549181321713.41235,1
function 1,30,0.4,0.0,normal,904902153709.4227,1
function 1,30,0.4,0.0,PSR,1016755648827.751,1
function 1,30,0.4,0.0,MSR,867655408413.6207,1
function 1,30,0.4,0.1,normal,68352772515.25056,1
